doc_id,doc_type,doc_date,doc_name,plan_desc,physical_index,date_edited,has_water,has_sewer,has_drainage,has_easement,has_street,has_utilities,has_addressing,is_as_built,needs_rescan,needs_delete,water_size,water_material,sewer_size,sewer_material,server_location
1388,Construction,7/29/1987,Lift Station Layout on Old Bonham Rd,,K-30,7/5/2013,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,
1389,Construction,,,#NAME?,K-31,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1390,Construction,1/17/1966,,#NAME?,K-32,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1391,Construction,1/18/1966,,West Side Fire Station + Plat,K-33,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1392,Construction,1/18/1966,,East Side Fire Station + Plat,K-34,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1393,Construction,1/24/1966,,Leverett-Ginsburg & Landers Tracts + Plat - Water and Sewer,K-35,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1394,Construction,3/11/1966,,Plaza + Parking Plan,K-36,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1395,Construction,12/7/1967,,Plaza + As Built,K-37,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1396,Construction,2/14/1967,,1200 Blk + Plat and Plan,K-38,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1397,Construction,3/2/1967,,Powderly High School + Proposed Layout,K-39,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1398,Construction,3/15/1967,,Downtown Paris. TX + Plat - Prop.one way St.,K-40,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1399,Construction,3/23/1967,,#NAME?,K-41,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1400,Construction,4/14/1967,,"""Powderly High School + 3"""" Meter Install and Box""",K-42,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1401,Construction,1/21/1971,,Central Fire Station + Building Plans,K-44,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1402,Construction,,,Police Department + Building Plans,K-45,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1403,Construction,2/20/1973,,Public Works + Building Plans,K-47,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1404,Construction,,,Plaza + Layout and Electrical Layout,K-48,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1405,Construction,1/1/1970,,Paris Police Facility + Building Plans - Renovation,K-49,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1406,Construction,,,#NAME?,K-51,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1407,Construction,10/1/1994,,Paris Police Dept. + Building Plans - HVAC,K-52,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1408,Construction,7/27/1971,,#NAME?,K-144,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1409,Construction,4/29/1964,,#NAME?,L-1,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1410,Construction,5/8/1964,,#NAME?,L-2,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1411,Construction,5/20/1964,,#NAME?,L-3,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1412,Construction,2/24/1964,,"""to Pine Mill Village + Layout 10""""""",L-4,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1413,Construction,6/3/1964,,#NAME?,L-5,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1414,Construction,6/18/1964,,#NAME?,L-6,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1415,Construction,6/18/1964,,#NAME?,L-8,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1416,Construction,6/25/1964,,3200 - 3700 Blk + Layout,L-9,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1417,Construction,6/30/1964,,#NAME?,L-10,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1418,Construction,7/13/1964,,3600 Blk. + Layout,L-11,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1419,Construction,7/27/1964,,North + Layout,L-13,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1420,Construction,8/3/1964,,#NAME?,L-14,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1421,Construction,8/4/1964,,To end of street + Layout,L-15,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1422,Construction,8/12/1964,,#NAME?,L-16,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1423,Construction,8/19/1964,,3400 Blk - North + Layout,L-17,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1424,Construction,9/2/1964,,#NAME?,L-18,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1425,Construction,9/10/1964,,#NAME?,L-19,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1426,Construction,9/11/1964,,#NAME?,L-20,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1427,Construction,9/15/1961,,#NAME?,L-21,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1428,Construction,9/15/1964,,#NAME?,L-22,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1429,Construction,10/2/1964,,#NAME?,L-23,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1430,Construction,10/9/1964,,1blk North + Layout,L-24,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1431,Construction,,,+,L-25,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1432,Construction,3/20/1964,,#NAME?,L-26,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
1433,Construction,,,1800 Blk + Curb Layout,L-27,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
